unit,items,value_count,average_placement
TFT8_Leblanc,"None, None, RecurveBow",13,4.15
TFT8_LeeSin,"None, None, Shroud",33,3.55
TFT8_LeeSin,"IonicSpark, None, None",12,3.67
TFT8_LeeSin,"Chalice, None, None",17,3.88
TFT8_LeeSin,"LocketOfTheIronSolari, None, None",13,4.0
TFT8_LeeSin,"None, None, Zephyr",25,4.0
TFT8_Leona,"EmptyBag, EmptyBag, ThiefsGloves",14,1.07
TFT8_Leona,"FrozenHeart, None, None",24,2.62
TFT8_Leona,"None, None, Zephyr",32,2.91
TFT8_Leona,"BrawlerEmblemItem, None, None",24,3.04
TFT8_Leona,"MascotEmblemItem, None, None",23,3.22
TFT8_Lulu,"None, None, None",12341,4.5
TFT8_Lux,"None, None, Zephyr",12,3.83
TFT8_Lux,"None, None, None",12361,4.5
TFT8_Lux,"Chalice, None, None",13,4.85
TFT8_Malphite,"None, None, Zephyr",20,2.55
TFT8_Malphite,"None, None, Shroud",17,3.24
TFT8_Malphite,"None, None, TitanicHydra",22,3.5
TFT8_Malphite,"LocketOfTheIronSolari, None, None",16,4.0
TFT8_Malphite,"GiantsBelt, None, None",12,4.42
TFT8_MissFortune,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",22,3.91
TFT8_MissFortune,"JeweledGauntlet, RabadonsDeathcap, SpearOfShojin",17,4.0
TFT8_MissFortune,"JeweledGauntlet, SpearOfShojin, UnstableConcoction",18,4.22
TFT8_MissFortune,"None, None, None",11682,4.48
TFT8_MissFortune,"JeweledGauntlet, PowerGauntlet, SpearOfShojin",13,5.0
TFT8_Mordekaiser,"ArchangelsStaff, None, None",13,4.31
TFT8_Mordekaiser,"None, None, None",11640,4.56
TFT8_Mordekaiser,"JeweledGauntlet, None, None",14,5.07
TFT8_Nasus,"None, None, None",12293,4.5
TFT8_Nilah,"LocketOfTheIronSolari, None, None",23,3.87
TFT8_Nilah,"None, None, TitanicHydra",15,4.4
TFT8_Nilah,"None, None, Zephyr",14,4.43
TFT8_Nilah,"None, None, None",11717,4.51
TFT8_Nilah,"None, None, Redemption",17,4.94
TFT8_Nunu,"None, None, OxForceEmblemItem",14,2.29
TFT8_Nunu,"HextechGunblade, None, None",14,3.36
TFT8_Nunu,"None, None, RedBuff",13,3.38
TFT8_Nunu,"IonicSpark, None, None",23,3.48
TFT8_Nunu,"None, None, Zephyr",12,3.58
TFT8_Poppy,"None, None, None",12388,4.5
TFT8_Rammus,"BrambleVest, DragonsClaw, WarmogsArmor",12,3.92
TFT8_Rammus,"None, None, None",11692,4.5
TFT8_Rammus,"BrambleVest, None, WarmogsArmor",15,4.6
TFT8_Rammus,"GargoyleStoneplate, None, None",12,5.08
TFT8_Rammus,"None, None, WarmogsArmor",13,5.08
TFT8_Rell,"None, None, None",12195,4.5
TFT8_Rell,"None, None, TitanicHydra",16,4.5
TFT8_Renekton,"BrambleVest, RedBuff, Redemption",12,2.0
TFT8_Renekton,"None, None, Shroud",13,3.15
TFT8_Renekton,"BrambleVest, DragonsClaw, WarmogsArmor",13,3.62
TFT8_Renekton,"BrambleVest, Redemption, WarmogsArmor",17,3.71
TFT8_Renekton,"None, None, Zephyr",13,3.85
TFT8_Riven,"None, None, Zephyr",15,2.8
TFT8_Riven,"ExoPrimeEmblemItem, None, None",17,3.47
TFT8_Riven,"IonicSpark, RedBuff, Redemption",20,3.75
TFT8_Riven,"DragonsClaw, RedBuff, WarmogsArmor",14,3.93
TFT8_Riven,"Chalice, None, ZekesHerald",17,4.06
TFT8_Samira,"None, None, OxForceEmblemItem",17,2.76
TFT8_Samira,"LastWhisper, MadredsBloodrazor, UnstableConcoction",24,3.38
TFT8_Samira,"InfinityEdge, MadredsBloodrazor, UnstableConcoction",14,3.5
TFT8_Samira,"InfinityEdge, LastWhisper, RunaansHurricane",50,3.7
TFT8_Samira,"Deathblade, LastWhisper, UnstableConcoction",17,3.82
TFT8_Sejuani,"Morellonomicon, Redemption, WarmogsArmor",17,3.0
TFT8_Sejuani,"BrambleVest, RedBuff, WarmogsArmor",14,3.21
TFT8_Sejuani,"RedBuff, Redemption, WarmogsArmor",23,3.3
TFT8_Sejuani,"BrambleVest, RedBuff, Redemption",20,3.3
