unit,items,value_count,average_placement
TFT8_Riven,"IonicSpark, RedBuff, Redemption",20,2.9
TFT8_Riven,"None, None, Zephyr",17,3.0
TFT8_Riven,"RedBuff, Redemption, WarmogsArmor",13,3.08
TFT8_Riven,"LocketOfTheIronSolari, None, None",12,3.67
TFT8_Riven,"IonicSpark, None, None",18,4.06
TFT8_Samira,"InfinityEdge, LastWhisper, MadredsBloodrazor",24,3.83
TFT8_Samira,"InfinityEdge, LastWhisper, RunaansHurricane",15,4.0
TFT8_Samira,"Deathblade, InfinityEdge, LastWhisper",12,4.08
TFT8_Samira,"InfinityEdge, MadredsBloodrazor, RunaansHurricane",16,4.31
TFT8_Samira,"LastWhisper, MadredsBloodrazor, RunaansHurricane",22,4.32
TFT8_Sejuani,"IonicSpark, RedBuff, Redemption",12,2.83
TFT8_Sejuani,"None, None, TitanicHydra",17,3.24
TFT8_Sejuani,"GargoyleStoneplate, RedBuff, Redemption",13,3.69
TFT8_Sejuani,"None, None, Shroud",24,3.75
TFT8_Sejuani,"None, None, Zephyr",19,3.84
TFT8_Senna,"None, None, None",6967,4.5
TFT8_Sett,"BrawlerEmblemItem, None, None",30,4.2
TFT8_Sett,"None, None, None",6868,4.5
TFT8_Sivir,"None, None, ZekesHerald",15,3.67
TFT8_Sivir,"None, None, StatikkShiv",14,3.79
TFT8_Sivir,"None, None, None",6964,4.51
TFT8_Sona,"None, None, SeraphsEmbrace",22,3.77
TFT8_Sona,"None, None, StatikkShiv",14,4.14
TFT8_Sona,"Chalice, None, None",19,4.32
TFT8_Sona,"None, None, None",6836,4.51
TFT8_Soraka,"JeweledGauntlet, MadredsBloodrazor, SeraphsEmbrace",40,3.9
TFT8_Soraka,"ArchangelsStaff, None, None",13,4.0
TFT8_Soraka,"HextechGunblade, JeweledGauntlet, SeraphsEmbrace",24,4.08
TFT8_Soraka,"ArchangelsStaff, JeweledGauntlet, SeraphsEmbrace",12,4.08
TFT8_Soraka,"HextechGunblade, JeweledGauntlet, SpearOfShojin",12,4.17
TFT8_Sylas,"None, None, None",7084,4.5
TFT8_Syndra,"None, None, SeraphsEmbrace",14,3.29
TFT8_Syndra,"None, None, StatikkShiv",34,3.32
TFT8_Syndra,"None, None, TearOfTheGoddess",14,3.57
TFT8_Syndra,"None, None, SpearOfShojin",47,3.89
TFT8_Syndra,"GenAE, None, None",14,4.29
TFT8_Taliyah,"HextechGunblade, JeweledGauntlet, SpearOfShojin",37,3.81
TFT8_Taliyah,"JeweledGauntlet, MadredsBloodrazor, SeraphsEmbrace",19,3.95
TFT8_Taliyah,"JeweledGauntlet, PowerGauntlet, SpearOfShojin",16,4.19
TFT8_Taliyah,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",24,4.21
TFT8_Taliyah,"JeweledGauntlet, MadredsBloodrazor, SpearOfShojin",89,4.43
TFT8_Talon,"None, None, Zephyr",18,3.11
TFT8_Talon,"Chalice, None, None",12,3.83
TFT8_Talon,"None, None, None",6955,4.51
TFT8_Urgot,"None, None, None",6681,4.59
TFT8_Vayne,"MadredsBloodrazor, None, None",13,3.85
TFT8_Vayne,"None, None, StatikkShiv",14,4.21
TFT8_Vayne,"None, None, ZekesHerald",14,4.43
TFT8_Vayne,"None, None, RecurveBow",13,4.46
TFT8_Vayne,"None, None, None",6655,4.5
TFT8_Velkoz,"MadredsBloodrazor, RabadonsDeathcap, SpearOfShojin",12,3.08
TFT8_Velkoz,"None, None, None",6803,4.51
TFT8_Vi,"None, None, ZekesHerald",21,3.52
TFT8_Vi,"None, None, Zephyr",31,3.55
TFT8_Vi,"None, None, Shroud",47,3.57
TFT8_Vi,"None, None, TitanicHydra",31,3.71
TFT8_Vi,"ADMINEmblemItem, None, None",14,4.0
TFT8_Viego,"IonicSpark, MadredsBloodrazor, UnstableConcoction",12,2.58
TFT8_Viego,"IonicSpark, RabadonsDeathcap, UnstableConcoction",13,3.31
TFT8_Viego,"ArchangelsStaff, Bloodthirster, IonicSpark",12,3.42
TFT8_Viego,"HextechGunblade, JeweledGauntlet, MadredsBloodrazor",12,3.92
TFT8_Viego,"Bloodthirster, IonicSpark, TitansResolve",14,4.0
TFT8_WuKong,"BrawlerEmblemItem, None, None",22,4.09
TFT8_WuKong,"None, None, None",7094,4.5
TFT8_Yasuo,"None, None, ZekesHerald",12,2.92
TFT8_Yasuo,"None, None, Zephyr",19,3.42
TFT8_Yasuo,"None, None, None",6701,4.54
TFT8_Yuumi,"None, None, StatikkShiv",12,3.0
TFT8_Yuumi,"None, None, None",6970,4.5
TFT8_Zac,"None, None, None",6841,4.5
TFT8_Zac,"None, None, WarmogsArmor",30,4.5
TFT8_Zed,"GuardianAngel, InfinityEdge, MadredsBloodrazor",13,2.62
TFT8_Zed,"OxForceEmblemItem, RunaansHurricane, TitansResolve",13,3.15
TFT8_Zed,"GuardianAngel, GuinsoosRageblade, RunaansHurricane",17,3.88
TFT8_Zed,"GuardianAngel, RunaansHurricane, UnstableConcoction",29,4.07
TFT8_Zed,"GuardianAngel, InfinityEdge, LastWhisper",17,4.12
TFT8_Zoe,"None, None, StatikkShiv",17,3.29
TFT8_Zoe,"JeweledGauntlet, Morellonomicon, SeraphsEmbrace",60,3.47
TFT8_Zoe,"HeartEmblemItem, Morellonomicon, SeraphsEmbrace",49,3.63
TFT8_Zoe,"None, None, Shroud",16,3.69
TFT8_Zoe,"Morellonomicon, RabadonsDeathcap, SeraphsEmbrace",16,3.75
