unit,items,value_count,average_placement
TFT8_Rammus,"BrambleVest, None, None",15,5.67
TFT8_Rammus,"None, None, RedBuff",14,6.14
TFT8_Rell,"None, None, None",7424,4.5
TFT8_Renekton,"None, None, Shroud",17,3.65
TFT8_Renekton,"ExoPrimeEmblemItem, None, None",14,4.0
TFT8_Renekton,"None, None, None",6965,4.53
TFT8_Renekton,"None, None, RedBuff",22,4.68
TFT8_Renekton,"None, None, Redemption",13,5.46
TFT8_Riven,"None, None, Shroud",13,3.15
TFT8_Riven,"IonicSpark, RedBuff, Redemption",13,3.38
TFT8_Riven,"None, None, Zephyr",12,3.92
TFT8_Riven,"IonicSpark, None, None",15,3.93
TFT8_Riven,"None, RedBuff, Redemption",13,4.0
TFT8_Samira,"InfinityEdge, LastWhisper, UnstableConcoction",18,3.72
TFT8_Samira,"LastWhisper, MadredsBloodrazor, RunaansHurricane",16,4.0
TFT8_Samira,"InfinityEdge, LastWhisper, RunaansHurricane",16,4.19
TFT8_Samira,"None, None, None",6862,4.49
TFT8_Samira,"InfinityEdge, LastWhisper, MadredsBloodrazor",33,5.15
TFT8_Sejuani,"FrozenHeart, Morellonomicon, None",12,3.08
TFT8_Sejuani,"FrozenHeart, None, Redemption",14,3.36
TFT8_Sejuani,"IonicSpark, None, None",21,3.38
TFT8_Sejuani,"RedBuff, Redemption, WarmogsArmor",15,3.4
TFT8_Sejuani,"GargoyleStoneplate, RedBuff, WarmogsArmor",13,3.46
TFT8_Senna,"None, None, None",7348,4.5
TFT8_Sett,"BrawlerEmblemItem, None, None",28,4.32
TFT8_Sett,"None, None, None",7169,4.5
TFT8_Sivir,"None, None, None",7365,4.5
TFT8_Sivir,"None, None, ZekesHerald",15,4.93
TFT8_Sona,"None, None, SeraphsEmbrace",23,3.65
TFT8_Sona,"Chalice, None, None",14,4.0
TFT8_Sona,"None, None, StatikkShiv",16,4.38
TFT8_Sona,"None, None, None",7207,4.52
TFT8_Soraka,"JeweledGauntlet, MadredsBloodrazor, SeraphsEmbrace",62,3.98
TFT8_Soraka,"HextechGunblade, JeweledGauntlet, SeraphsEmbrace",20,4.25
TFT8_Soraka,"JeweledGauntlet, None, SeraphsEmbrace",21,4.48
TFT8_Soraka,"None, None, None",6527,4.54
TFT8_Soraka,"None, None, SpearOfShojin",25,4.84
TFT8_Sylas,"None, None, None",7437,4.5
TFT8_Syndra,"Chalice, None, None",12,3.17
TFT8_Syndra,"None, None, SeraphsEmbrace",15,3.33
TFT8_Syndra,"None, None, SpearOfShojin",45,3.53
TFT8_Syndra,"None, None, StatikkShiv",25,4.28
TFT8_Syndra,"None, None, None",7218,4.54
TFT8_Taliyah,"JeweledGauntlet, RabadonsDeathcap, SpearOfShojin",21,3.57
TFT8_Taliyah,"HextechGunblade, JeweledGauntlet, SpearOfShojin",37,4.27
TFT8_Taliyah,"None, None, None",6961,4.49
TFT8_Taliyah,"JeweledGauntlet, MadredsBloodrazor, SpearOfShojin",42,4.55
TFT8_Taliyah,"JeweledGauntlet, PowerGauntlet, SpearOfShojin",21,4.57
TFT8_Talon,"None, None, Zephyr",17,2.47
